FID	Country	gad_id_smj	Region	Economic_Classification
2	Afghanistan	1	Southern Asia	Low income
5	Albania	3	Eastern Europe & Central Asia	Upper middle income
3	Algeria	4	Middle East & North Africa	Upper middle income
9	American Samoa	5	East Asia & Pacific	Upper middle income
7	Andorra	6	Western Europe	High income
8	Angola	7	Sub-Saharan Africa	Lower middle income
1	Antigua and Barbuda	10	Latin America & Caribbean	High income
10	Argentina	11	Latin America & Caribbean	Upper middle income
6	Armenia	12	Eastern Europe & Central Asia	Lower middle income
0	Aruba	13	Latin America & Caribbean	High income
11	Australia	14	East Asia & Pacific	High income
12	Austria	15	Western Europe	High income
4	Azerbaijan	16	Eastern Europe & Central Asia	Upper middle income
20	Bahamas	17	Latin America & Caribbean	High income
15	Bahrain	18	Middle East & North Africa	High income
21	Bangladesh	19	Southern Asia	Lower middle income
16	Barbados	20	Latin America & Caribbean	High income
27	Belarus	21	Eastern Europe & Central Asia	Upper middle income
19	Belgium	22	Western Europe	High income
22	Belize	23	Latin America & Caribbean	Upper middle income
26	Benin	24	Sub-Saharan Africa	Low income
18	Bermuda	25	North America	High income
30	Bhutan	26	Southern Asia	Lower middle income
24	Bolivia	27	Latin America & Caribbean	Lower middle income
23	Bosnia and Herzegovina	29	Eastern Europe & Central Asia	Upper middle income
17	Botswana	30	Sub-Saharan Africa	Upper middle income
29	Brazil	32	Latin America & Caribbean	Upper middle income
238	British Virgin Islands	34	Latin America & Caribbean	High income
33	Brunei Darussalam	35	East Asia & Pacific	High income
31	Bulgaria	36	Eastern Europe & Central Asia	Upper middle income
233	Burkina Faso	37	Sub-Saharan Africa	Low income
34	Burundi	38	Sub-Saharan Africa	Low income
52	Cabo Verde	42	Sub-Saharan Africa	Lower middle income
36	Cambodia	39	East Asia & Pacific	Lower middle income
45	Cameroon	40	Sub-Saharan Africa	Lower middle income
35	Canada	41	North America	High income
43	Cayman Islands	44	Latin America & Caribbean	High income
50	Central African Republic	45	Sub-Saharan Africa	Low income
37	Chad	46	Sub-Saharan Africa	Low income
85	Channel Islands	95	Western Europe	High income
113	Channel Islands	95	Western Europe	High income
42	Chile	47	Latin America & Caribbean	High income
41	People's Republic of China	48	East Asia & Pacific	Upper middle income
47	Colombia	52	Latin America & Caribbean	Upper middle income
46	Comoros	53	Sub-Saharan Africa	Low income
40	Democratic Republic of the Congo	62	Sub-Saharan Africa	Low income
39	Republic of the Congo	183	Sub-Saharan Africa	Lower middle income
49	Costa Rica	55	Latin America & Caribbean	Upper middle income
110	Cote d Ivoire	56	Sub-Saharan Africa	Lower middle income
100	Croatia	57	Eastern Europe & Central Asia	Upper middle income
51	Cuba	58	Latin America & Caribbean	Upper middle income
170	Curacao	59	Latin America & Caribbean	High income
54	Cyprus	60	Eastern Europe & Central Asia	High income
68	Czech Republic	61	Eastern Europe & Central Asia	High income
55	Denmark	63	Western Europe	High income
56	Djibouti	64	Middle East & North Africa	Lower middle income
57	Dominica	65	Latin America & Caribbean	Upper middle income
59	Dominican Republic	66	Latin America & Caribbean	Upper middle income
60	Ecuador	68	Latin America & Caribbean	Upper middle income
61	Egypt	69	Middle East & North Africa	Lower middle income
66	El Salvador	70	Latin America & Caribbean	Lower middle income
63	Equatorial Guinea	71	Sub-Saharan Africa	Upper middle income
65	Eritrea	72	Sub-Saharan Africa	Low income
64	Estonia	73	Eastern Europe & Central Asia	High income
67	Ethiopia	74	Sub-Saharan Africa	Low income
74	Faroe Islands	76	Western Europe	High income
71	Fiji	77	East Asia & Pacific	Upper middle income
70	Finland	78	Western Europe	High income
77	France	79	Western Europe	High income
77	French Southern and Antarctic Lands	82	Western Europe	High income
75	French Polynesia	81	East Asia & Pacific	High income
80	Gabon	83	Sub-Saharan Africa	Upper middle income
79	Gambia	84	Sub-Saharan Africa	Low income
81	Georgia	85	Eastern Europe & Central Asia	Lower middle income
87	Germany	86	Western Europe	High income
82	Ghana	87	Sub-Saharan Africa	Lower middle income
83	Gibraltar	88	Western Europe	High income
91	Greece	89	Western Europe	High income
84	Grenada	91	Latin America & Caribbean	Upper middle income
90	Guam	93	East Asia & Pacific	High income
92	Guatemala	94	Latin America & Caribbean	Lower middle income
93	Guinea	96	Sub-Saharan Africa	Low income
184	Guinea-Bissau	97	Sub-Saharan Africa	Low income
94	Guyana	98	Latin America & Caribbean	Upper middle income
96	Haiti	99	Latin America & Caribbean	Low income
98	Honduras	101	Latin America & Caribbean	Lower middle income
251	Hong Kong	102	East Asia & Pacific	High income
101	Hungary	103	Eastern Europe & Central Asia	High income
102	Iceland	104	Western Europe	High income
105	India	105	Southern Asia	Lower middle income
103	Indonesia	106	East Asia & Pacific	Lower middle income
107	Iran	107	Middle East & North Africa	Upper middle income
111	Iraq	108	Middle East & North Africa	Upper middle income
62	Ireland	109	Western Europe	High income
104	Isle of Man	239	Western Europe	High income
108	Israel	111	Middle East & North Africa	High income
109	Italy	112	Western Europe	High income
